run,output_dir,saved_index,step,peak_k,masked_kmin,masked_kmax,fit_kmin,fit_kmax,fit_points,residual_energy,masked_slope,masked_r_squared
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,22,22000,3.0,2.0,4.0,9,35,27,1.584505950845657e-12,-2.4872698679670306,0.954636423842279
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,23,23000,3.0,2.0,4.0,9,35,27,1.5714801932875796e-12,-2.5472105667193916,0.9541673371516368
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,24,24000,3.0,2.0,4.0,9,35,27,1.5587551857410151e-12,-2.6063358916240214,0.9536301870737406
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,25,25000,3.0,2.0,4.0,9,35,27,1.5462890272043878e-12,-2.664563410500072,0.9531154542601091
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,26,26000,3.0,2.0,4.0,9,35,27,1.5340439629449043e-12,-2.7219703079810085,0.9526711316959616
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,27,27000,3.0,2.0,4.0,9,35,27,1.5219857893228694e-12,-2.778828434826659,0.9523048775571795
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,28,28000,3.0,2.0,4.0,9,35,27,1.5100833814535693e-12,-2.835584131621755,0.9520028336161713
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,29,29000,3.0,2.0,4.0,9,35,27,1.4983083192092423e-12,-2.8927796498212692,0.951752274844678
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,30,30000,3.0,2.0,4.0,9,35,27,1.4866345927006115e-12,-2.950919818895572,0.9515653128364868
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,31,31000,3.0,2.0,4.0,9,35,27,1.47503837254009e-12,-3.0103018064462046,0.9515081084963208
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,32,32000,3.0,2.0,4.0,9,35,27,1.4634978331945648e-12,-3.0708812537399224,0.9517125021609615
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,33,33000,3.0,2.0,4.0,9,35,27,1.4519930199633222e-12,-3.132303133119609,0.9523104664393914
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,34,34000,3.0,2.0,4.0,9,35,27,1.440505751724013e-12,-3.1941289184749095,0.9532827426396454
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,35,35000,3.0,2.0,4.0,9,35,27,1.4290195528221278e-12,-3.25600287584431,0.9543703557823041
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,36,36000,3.0,2.0,4.0,9,35,27,1.4175196083137613e-12,-3.3174040620794587,0.9552337768967732
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,37,37000,3.0,2.0,4.0,9,35,27,1.405992737473042e-12,-3.377105832315663,0.955784513426896
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,38,38000,3.0,2.0,4.0,9,35,27,1.3944273809095082e-12,-3.4330489509984856,0.9563523273304917
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,39,39000,3.0,2.0,4.0,9,35,27,1.38281359705854e-12,-3.4832017861139497,0.9574418966899546
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,40,40000,3.0,2.0,4.0,9,35,27,1.3711430640606446e-12,-3.5269697270575637,0.9592480376712081
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,41,41000,3.0,2.0,4.0,9,35,27,1.3594090833298e-12,-3.565801654764079,0.961440179715227
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,42,42000,3.0,2.0,4.0,9,35,27,1.3476065813251991e-12,-3.6023392243921735,0.9634349621608285
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,43,43000,3.0,2.0,4.0,9,35,27,1.3357321062890243e-12,-3.6390266922389083,0.9647828871351349
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,44,44000,3.0,2.0,4.0,9,35,27,1.3237838169925153e-12,-3.6771887240105743,0.9653348577052564
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,45,45000,3.0,2.0,4.0,9,35,27,1.3117614608597902e-12,-3.7166325044539428,0.9652640155612079
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,46,46000,3.0,2.0,4.0,9,35,27,1.299666339258419e-12,-3.7557113765431445,0.9650385101394127
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,47,47000,3.0,2.0,4.0,9,35,27,1.2875012581636699e-12,-3.792230218155114,0.9652330240067547
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,48,48000,3.0,2.0,4.0,9,35,27,1.275270463037089e-12,-3.8251787016850627,0.966120385790552
