run,output_dir,saved_index,step,masked_kmin,masked_kmax,fit_kmin,fit_kmax,fit_points,residual_energy,compensated_mean,compensated_std,compensated_cv,plateau_width
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,16,16000,2,4,9,41,33,1.5441345288789964e-12,99.42243011982698,38.80609588001097,0.39031530242462054,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,17,17000,2,4,9,41,33,1.5279562129909593e-12,96.02880591238014,36.03354975701033,0.3752368824609621,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,18,18000,2,4,9,41,33,1.5124368956383566e-12,92.77825647248326,33.43343982596606,0.3603585699617232,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,19,19000,2,4,9,41,33,1.497489051379991e-12,89.67090972422577,31.0125432718501,0.3458484291865242,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,20,20000,2,4,9,41,33,1.483038260441691e-12,86.70182732211343,28.81131207446156,0.332303400797104,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,21,21000,2,4,9,41,33,1.4690208070854187e-12,83.86163432190324,26.85484950780916,0.3202280724070641,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,22,22000,2,4,9,41,33,1.4553817909314106e-12,81.13831035017215,25.11058496719469,0.3094787759176133,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,23,23000,2,4,9,41,33,1.4420736280835122e-12,78.5201264705987,23.51338808168595,0.29945682895060505,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,24,24000,2,4,9,41,33,1.429054851650669e-12,75.99939546315018,22.04626928276579,0.29008479802257586,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,25,25000,2,4,9,41,33,1.4162891446644303e-12,73.5758812292344,20.77580894120547,0.2823725464663613,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,26,26000,2,4,9,41,33,1.4037445554788712e-12,71.25750341607399,19.77317550043879,0.2774890299619792,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,27,27000,2,4,9,41,33,1.3913928579647543e-12,69.05569013001946,19.005975645457593,0.2752267859415025,32.0
