row_type,run,N,dealias_rule,window_start_index,window_end_index,fit_kmin,fit_kmax,peak_mask_kmin,peak_mask_kmax,k,region,full_mode_count,active_dealiased_mode_count,window_mean_shell_sum_E,window_mean_shell_mean_E_full_count,window_mean_shell_mean_E_active_count,shell_sum_slope_k9_41,shell_sum_r2_k9_41,shell_mean_full_count_slope_k9_41,shell_mean_full_count_r2_k9_41,shell_mean_active_count_slope_k9_41,shell_mean_active_count_r2_k9_41,full_mode_count_slope_k9_41,full_mode_count_r2_k9_41,active_mode_count_slope_k9_41,active_mode_count_r2_k9_41,per_snapshot_shell_sum_slope_mean,per_snapshot_shell_sum_slope_std,per_snapshot_shell_mean_full_count_slope_mean,per_snapshot_shell_mean_full_count_slope_std,full_count_min,full_count_median,full_count_max,full_count_mean,active_count_min,active_count_median,active_count_max,active_count_mean,n_shells,full_sparse_lt_16,full_sparse_lt_32,full_sparse_lt_64,active_sparse_lt_16,active_sparse_lt_32,active_sparse_lt_64
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,18,fit_range,112,112,1.1315496848470693e-14,1.0103122186134547e-16,1.0103122186134547e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,19,fit_range,116,116,9.776229038067508e-15,8.427783653506472e-17,8.427783653506472e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,20,fit_range,112,112,8.163020017964564e-15,7.288410730325503e-17,7.288410730325503e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,21,fit_range,144,144,8.957023854924142e-15,6.220155454808432e-17,6.220155454808432e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,22,fit_range,140,140,7.047152405185905e-15,5.0336802894185035e-17,5.0336802894185035e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,23,fit_range,144,144,7.354483050020516e-15,5.10727989584758e-17,5.10727989584758e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,24,fit_range,144,144,4.742905671002447e-15,3.293684493751699e-17,3.293684493751699e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,25,fit_range,168,168,4.934009804341797e-15,2.9369105978224985e-17,2.9369105978224985e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,26,fit_range,164,164,3.110013104706596e-15,1.8963494540893877e-17,1.8963494540893877e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,27,fit_range,160,160,3.1814976539149906e-15,1.988436033696869e-17,1.988436033696869e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,28,fit_range,184,184,3.153237099087645e-15,1.7137158147215463e-17,1.7137158147215463e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,29,fit_range,172,172,2.6311053944424153e-15,1.529712438629311e-17,1.529712438629311e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,30,fit_range,200,200,2.3972903599932236e-15,1.1986451799966117e-17,1.1986451799966117e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,31,fit_range,192,192,1.96933758024734e-15,1.025696656378823e-17,1.025696656378823e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,32,fit_range,188,188,1.529734637957701e-15,8.13688637211543e-18,8.13688637211543e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
